'RieszEuclidean.hausdorff_mem_of_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.hausdorff_separated' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.compactRestriction_limit_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.compactRestriction_limit_interior' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.windowLimitSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.weaklyConverges_of_window_limits' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.separated_weak_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.WeaklyConverges.tendsto_infEdist' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.ext' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.profile' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.profile_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.profile_isEmbedding' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.tendsto_of_weaklyConverges' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.seqCompactSpace' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.compactSpace' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.weaklyConverges_of_tendsto' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.continuous_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.tendsto_iff_weaklyConverges' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.translate_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.translate_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.orbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hull' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.mem_hull' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.isCompact_hull' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.translate_mem_hull' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullTranslate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.continuous_hullTranslate' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.rieszMeasure_isProbability' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.rieszMeasure_measurePreserving' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.meanFunctionals' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.isClosed_normalized_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.isCompact_meanFunctionals' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.evaluation_mem_meanFunctionals' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.meanFunctionals_clusterPt' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.mean_clusterPt_eq_of_tendsto_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_invariant_mean_of_averages' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.meanToFunctional' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_invariant_probability_of_averages' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.euclideanBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.measurableSet_euclideanBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.volume_euclideanBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.volume_euclideanBox_pos_lt_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxProbabilityMeasure_isProbability' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integrable_box_observable' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxAverageLinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_boxAverageLinear_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxAverage' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxAverage_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxAverage_mem_meanFunctionals' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.mem_euclideanBox_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxNorm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
